# Generated by scripts/import-romance-lexicons.py; do not edit.
# Language-routing membership only: Spanish.
# Pinned wooorm/dictionaries commit: 8cfea406b505e4d7df52d5a19bce525df98c54ab.
# Sources: dictionaries/es/index.dic.
# Pronunciation is owned separately by the pinned MFA pronunciation TSV.
# word	language
a	es
ababa	es
ababol	es
abacero	es
abacería	es
abacial	es
abacá	es
abad	es
abada	es
abadejo	es
abadengo	es
abadernar	es
abadesa	es
abadiato	es
abadí	es
abadía	es
abajadero	es
abajamiento	es
abajar	es
abajeño	es
abajo	es
abakuá	es
abalanzar	es
abalar	es
abalconado	es
abaldonar	es
abalear	es
abalizar	es
aballar	es
aballestar	es
abalorio	es
abaluartar	es
abanador	es
abanar	es
abancalar	es
abanda	es
abanderado	es
abanderamiento	es
abanderar	es
abanderizar	es
abandonadamente	es
abandonado	es
abandonar	es
abandonismo	es
abandonista	es
abandono	es
abanear	es
abanicar	es
abanico	es
abanillo	es
abaniqueo	es
abaniquero	es
abaniquería	es
abanquino	es
abanto	es
abaos	es
abaratamiento	es
abaratar	es
abarañar	es
abarbechar	es
abarca	es
abarcable	es
abarcado	es
abarcador	es
abarcadura	es
abarcamiento	es
abarcar	es
abarcuzar	es
abarcón	es
abaritonado	es
abarloar	es
abarquillado	es
abarquillamiento	es
abarquillar	es
abarraganar	es
abarrajar	es
abarrancadero	es
abarrancamiento	es
abarrancar	es
abarrar	es
abarrederas	es
abarrenar	es
abarrocado	es
abarrotadamente	es
abarrotamiento	es
abarrotar	es
abarse	es
abastar	es
abastardar	es
abastecedor	es
abastecer	es
abastecimiento	es
abastionar	es
abasí	es
abatanado	es
abatanar	es
abatir	es
abatojar	es
abayado	es
abazón	es
abañar	es
abc	es
abderitano	es
abdicar	es
abdicativamente	es
abdicativo	es
abdomen	es
abdominal	es
abducción	es
abducir	es
abductor	es
abecedario	es
abecé	es
abedul	es
abeja	es
abejar	es
abejarrón	es
abejaruco	es
abejeo	es
abejero	es
abejorrear	es
abejorro	es
abejón	es
abeldar	es
abellacar	es
abellotado	es
abelmosco	es
abemolar	es
abencerraje	es
abenuz	es
aberenjenado	es
aberración	es
aberrante	es
aberrantemente	es
abertal	es
abertura	es
abertzale	es
aberzale	es
abestiado	es
abestializado	es
abetal	es
abete	es
abeto	es
abetuna	es
abetunado	es
abia	es
abiar	es
abibollo	es
abichar	es
abierta	es
abiertamente	es
abierto	es
abietáceas	es
abietáceo	es
abietíneas	es
abietíneo	es
abigarrado	es
abigarramiento	es
abigarrar	es
abigotado	es
abinar	es
abintestato	es
abiogénesis	es
abipón	es
abisagrar	es
abisal	es
abiselar	es
