# Generated by scripts/import-romance-lexicons.py; do not edit.
# Lexical pronunciation authority: Montreal Forced Aligner Spanish dictionaries.
# Pinned mfa-models commit: d6eff86a42c6a90b641e17dfdf7a16555b934483.
# Sources: dictionary/spanish/spain_mfa/spanish_spain_mfa.dict, dictionary/spanish/latin_america_mfa/spanish_latin_america_mfa.dict.
# Source MFA phones are retained verbatim after NFC normalization.
# word	dialect-membership	mfa-phones
a	spain+latin-america	a
aaiún	latin-america	a j ũ n
aarón	spain+latin-america	a a ɾ õ n
ab	spain+latin-america	a β
abacial	latin-america	a β a s j a l
abacial	spain	a β a θ j a l
abaciales	spain	a β a θ j a l e s
abad	spain+latin-america	a β a
abad	spain+latin-america	a β a ð
abada	spain	a β a ð a
abadejo	spain	a β a ð e x o
abadengo	spain	a β a ð ẽ ŋ ɡ o
abades	spain+latin-america	a β a ð e s
abadesa	spain+latin-america	a β a ð e s a
abadesas	spain	a β a ð e s a s
abadiano	spain	a β a ð j a n o
abadía	spain+latin-america	a β a ð i a
abadías	latin-america	a β a ð i a
abadías	spain+latin-america	a β a ð i a s
abaja	spain	a β a x a
abajada	spain	a β a x a ð a
abajar	spain	a β a x a ɾ
abajito	spain	a β a ç i t̪ o
abajo	spain+latin-america	a β a x o
abajó	spain	a β a x o
abalancé	spain	a β a l ã n θ e
abalancéme	spain	a β a l ã n θ e m e
abalanza	spain	a β a l ã n θ a
abalanzaba	spain	a β a l ã n θ a β a
abalanzaban	spain	a β a l ã n θ a β ã n
abalanzamos	spain	a β a l ã n θ a m o s
abalanzaron	spain	a β a l ã n θ a ɾ õ n
abalanzarse	spain	a β a l ã n θ a ɾ s e
abalanzándome	spain	a β a l ã n θ ã n d̪ o m e
abalanzándose	spain	a β a l ã n θ ã n d̪ o s e
abalanzáronse	spain	a β a l ã n θ a ɾ õ n s e
abalanzó	spain	a β a l ã n θ o
abalanzóse	spain	a β a l ã n θ o s e
abanderada	latin-america	a β ã n d̪ e ɾ a ð a
abanderado	spain+latin-america	a β ã n d̪ e ɾ a ð o
abanderados	latin-america	a β ã n d̪ e ɾ a ð o s
abanderar	latin-america	a β ã n d̪ e ɾ a ɾ
abandona	spain+latin-america	a β ã n d̪ o n a
abandonaba	spain+latin-america	a β ã n d̪ o n a β a
abandonaban	latin-america	a β ã n d̪ o n a β ã
abandonaban	spain+latin-america	a β ã n d̪ o n a β ã n
abandonada	spain+latin-america	a β ã n d̪ o n a ð a
abandonadas	latin-america	a β ã n d̪ o n a ð a
abandonadas	latin-america	a β ã n d̪ o n a ð a h
abandonadas	spain+latin-america	a β ã n d̪ o n a ð a s
abandonado	spain+latin-america	a β ã n d̪ o n a ð o
abandonados	latin-america	a β ã n d̪ o n a ð o
abandonados	latin-america	a β ã n d̪ o n a ð o h
abandonados	spain+latin-america	a β ã n d̪ o n a ð o s
abandonamos	spain	a β ã n d̪ o n a m o s
abandonan	latin-america	a β ã n d̪ o n ã
abandonan	spain+latin-america	a β ã n d̪ o n ã n
abandonando	spain+latin-america	a β ã n d̪ o n ã n d̪ o
abandonar	spain+latin-america	a β ã n d̪ o n a
abandonar	spain+latin-america	a β ã n d̪ o n a r
abandonar	spain+latin-america	a β ã n d̪ o n a ɾ
abandonara	spain+latin-america	a β ã n d̪ o n a ɾ a
abandonaran	latin-america	a β ã n d̪ o n a ɾ ã n
abandonaremos	spain	a β ã n d̪ o n a ɾ e m o s
abandonarla	latin-america	a β ã n d̪ o n a r l a
abandonarla	spain+latin-america	a β ã n d̪ o n a ɾ l a
abandonarlas	spain	a β ã n d̪ o n a ɾ l a s
abandonarle	spain	a β ã n d̪ o n a ɾ l e
abandonarles	spain	a β ã n d̪ o n a ɾ l e s
abandonarlo	latin-america	a β ã n d̪ o n a r l o
abandonarlo	spain+latin-america	a β ã n d̪ o n a ɾ l o
abandonarlos	latin-america	a β ã n d̪ o n a r l o s
abandonarlos	spain+latin-america	a β ã n d̪ o n a ɾ l o s
abandonarme	spain	a β ã n d̪ o n a ɾ m e
abandonarnos	spain	a β ã n d̪ o n a ɾ n o s
abandonaron	latin-america	a β ã n d̪ o n a ɾ õ
abandonaron	spain+latin-america	a β ã n d̪ o n a ɾ õ n
abandonaros	spain	a β ã n d̪ o n a ɾ o s
abandonarse	spain	a β ã n d̪ o n a ɾ s e
abandonarte	spain	a β ã n d̪ o n a ɾ t̪ e
abandonará	spain+latin-america	a β ã n d̪ o n a ɾ a
abandonarán	spain	a β ã n d̪ o n a ɾ ã n
abandonarás	spain	a β ã n d̪ o n a ɾ a s
abandonaré	spain	a β ã n d̪ o n a ɾ e
abandonaría	spain+latin-america	a β ã n d̪ o n a ɾ i a
abandonarían	spain	a β ã n d̪ o n a ɾ i ã n
abandonas	spain	a β ã n d̪ o n a s
abandonase	spain	a β ã n d̪ o n a s e
abandonasen	spain	a β ã n d̪ o n a s ẽ n
abandonaste	spain	a β ã n d̪ o n a s t̪ e
abandonasteis	spain	a β ã n d̪ o n a s t̪ e j s
abandone	spain+latin-america	a β ã n d̪ o n e
abandonemos	spain	a β ã n d̪ o n e m o s
abandonen	spain+latin-america	a β ã n d̪ o n ẽ n
abandones	spain	a β ã n d̪ o n e s
abandono	spain+latin-america	a β ã n d̪ o n o
abandonos	spain+latin-america	a β ã n d̪ o n o s
abandonáis	spain	a β ã n d̪ o n a j s
abandonándola	spain	a β ã n d̪ o n ã n d̪ o l a
abandonándolo	spain	a β ã n d̪ o n ã n d̪ o l o
abandonándolos	spain	a β ã n d̪ o n ã n d̪ o l o s
abandonándose	spain	a β ã n d̪ o n ã n d̪ o s e
abandonándote	spain	a β ã n d̪ o n ã n d̪ o t̪ e
abandoné	spain+latin-america	a β ã n d̪ o n e
abandonéis	spain	a β ã n d̪ o n e j s
abandonó	spain+latin-america	a β ã n d̪ o n o
abanicaba	spain	a β a ɲ i k a β a
